"region","year","avgtmp","tmax","tmin","avgprecip","totalprecip","pmax","pmin","total","drought","drought_percent"
"Mato Grosso","2015",26.5774778174208,32.730406038038,20.4740244032026,145.166592965943,193361.901830636,494.600006103516,0,1332,388,0.291291291291291
"Mato Grosso","2016",26.3591595397697,32.5201207825371,20.2475229054242,148.49759898945,197798.801853947,503.100006103516,0,1332,345,0.259009009009009
"Mato Grosso","2017",26.4134388456831,32.5569826174785,20.3201204971508,149.607584212624,199277.302171215,453.899993896484,0,1332,344,0.258258258258258
"Mato Grosso do Sul","1991",24.8458337222829,30.4921574031605,19.2482847068824,114.207354856472,46596.6007814407,293.800018310547,6.20000028610229,408,80,0.196078431372549
"Mato Grosso do Sul","1992",24.128431745604,29.6933827259961,18.613480738565,138.972796267154,56700.9008769989,301.899993896484,3.5,408,61,0.149509803921569
"Mato Grosso do Sul","1993",24.6073532805723,30.259559322806,19.0031865858564,109.33970734068,44610.6005949974,310.899993896484,4.20000028610229,408,61,0.149509803921569
"Mato Grosso do Sul","1994",25.2887258669909,30.8958338522444,19.7308827451631,116.005148518027,47330.100595355,305.200012207031,0.600000023841858,408,64,0.156862745098039
"Mato Grosso do Sul","1995",24.9602945458655,30.6372554161969,19.3318631064658,113.97353127365,46501.2007596493,355.800018310547,1.5,408,101,0.247549019607843
"Mato Grosso do Sul","1996",24.5080885957269,30.1345592526829,18.9311277515748,119.805884277119,48880.8007850647,300.800018310547,0.5,408,96,0.235294117647059
"Mato Grosso do Sul","1997",25.2438728996352,30.846814253751,19.6870102064282,132.707600220746,54144.7008900642,389,2.70000004768372,408,71,0.174019607843137
"Mato Grosso do Sul","1998",24.8272062703675,30.3995103041331,19.3022062474606,127.738482422688,52117.3008284569,365.600006103516,1.70000004768372,408,74,0.181372549019608
"Mato Grosso do Sul","1999",25.0759807287478,30.7264711062113,19.4735297806123,96.5933838837287,39410.1006245613,294.600006103516,0.800000011920929,408,118,0.28921568627451
"Mato Grosso do Sul","2000",24.8720592236986,30.5034318718256,19.2899513677055,117.365443339535,47885.1008825302,305.899993896484,9.10000038146973,408,63,0.154411764705882
"Mato Grosso do Sul","2001",25.350245475769,30.9607848934099,19.7887258576412,119.646325715909,48815.7008920908,334.899993896484,1.80000007152557,408,101,0.247549019607843
"Mato Grosso do Sul","2002",25.7718141125698,31.3647064601674,20.2274513081008,96.4316191140416,39344.100598529,315,0.200000002980232,408,118,0.28921568627451
"Mato Grosso do Sul","2003",25.1178925458123,30.8230397280525,19.4617650298511,121.34044300458,49506.9007458687,402.100006103516,7.09999990463257,408,74,0.181372549019608
"Mato Grosso do Sul","2004",24.9232846802356,30.5958338578542,19.2987748735091,110.935540927976,45261.7006986141,314,3.29999995231628,408,87,0.213235294117647
"Mato Grosso do Sul","2005",25.0078434990902,30.6632358700621,19.4009807366951,106.115197850501,43295.0007230043,358.800018310547,0.5,408,99,0.242647058823529
"Mato Grosso do Sul","2006",25.2399514142205,30.9345593639449,19.5950983715992,119.889953245135,48915.100924015,365.800018310547,7.90000009536743,408,73,0.178921568627451
"Mato Grosso do Sul","2007",25.1340689916237,30.7654416981865,19.5514709248262,112.122795831175,45746.1006991193,479.200012207031,0.100000001490116,408,125,0.306372549019608
"Mato Grosso do Sul","2008",24.9372552680034,30.6254906981599,19.2968140606787,109.940442974077,44855.7007334232,323.100006103516,1.70000004768372,408,94,0.230392156862745
"Mato Grosso do Sul","2009",25.1644611779381,30.8210790391062,19.5558827086991,124.882600097095,50952.1008396149,369.600006103516,5.80000019073486,408,70,0.17156862745098
"Mato Grosso do Sul","2010",24.8921572180355,30.5360299091713,19.2936277880388,114.290443061504,46630.5007690936,324.700012207031,0.200000002980232,408,102,0.25
"Mato Grosso do Sul","2011",25.1125003309811,30.7519613527784,19.5191179958044,119.577208212778,48787.5009508133,353.300018310547,3,408,101,0.247549019607843
"Mato Grosso do Sul","2012",25.496814068626,31.1610299325457,19.8806375802732,111.470835237526,45480.1007769108,354.600006103516,2,408,86,0.21078431372549
